ZIPYEAR,total_pop,white_nonhisp,black,asian,hispanic,median_hh_inc,per_capita_inc,gini_index,pop_below_poverty,hh_on_snap,med_home_value,med_gross_rent,owner_occupied,renter_occupied,vacant_units,bachelors_deg,masters_deg,unemployed_count,foreign_born,moved_last_year,state,ZIP,YEAR,borough,avg_med_hh_inc,income_2012,income_2022,med_HHinc,total_change,pct_growth,avg_5yr_change,biz_tech,doe,fin_prop,infr_env,safety,school,ss_hous,avg_duration_min,p1_duration_min,p99_duration_min,dur_avg_hrs,dur_avg_days,3.0,11.0,33.0,34.0,35.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,45.0,0,67,69,71,72,73,76,77,78,83,90,104,housing_building,noise_qol,sanitation_env,street_traffic,public_safety,parks_nature,finance_legal,business_consumer,tech_infrastructure,education,other_misc
11215 2015,70818.0,46877.0,2811.0,5483.0,12568.0,103716.0,60565.0,0.4701,5670.0,1533.0,957500.0,1914.0,10967.0,18215.0,1977.0,19041.0,13134.0,2533.0,12449.0,57570.0,36,11215,2015,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5,161,0,361,9432,4258,21,2751,23043.845106794906,4.6721666666666675,466027.7969999999,384.06408511324844,16.002670213052017,0,0,168,0,0,0,2715,14066,4,0,0,0,0,492,0,0,0,4377,0,1,0,12114,0,0,0,3010,2774,2343,5031,816,697,667,527,933,21,165
11212 2015,88668.0,1285.0,70612.0,1124.0,14619.0,28207.0,15853.0,0.4975,30735.0,12524.0,394200.0,923.0,4682.0,26761.0,2644.0,4924.0,1589.0,5204.0,29988.0,79293.0,36,11212,2015,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0,172,0,277,4928,4316,11,11612,21568.339983095873,18.553333333333335,354747.71399999916,359.4723330515979,14.978013877149913,0,1,0,0,0,628,0,0,0,13362,7299,0,4,184,10412,3,2,0,10547,0,168,0,0,0,0,10803,2858,1329,3090,539,352,376,294,1099,11,565
11215 2016,69965.0,46744.0,2583.0,5241.0,12095.0,108178.0,64040.0,0.4788,5623.0,1585.0,1000800.0,2000.0,10918.0,18089.0,2008.0,18483.0,13441.0,2155.0,12134.0,57372.0,36,11215,2016,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5,157,0,274,9402,4788,18,2792,22345.41022808908,8.2005,387554.7813333354,372.4235038014847,15.517645991728529,0,0,244,0,0,0,2584,14576,2,0,0,0,0,605,0,0,0,4225,0,1,0,12600,0,0,0,3377,2800,2701,4796,1012,875,494,534,675,18,149
11237 2016,53678.0,8582.0,3885.0,3903.0,36441.0,46351.0,20829.0,0.4689,16454.0,5499.0,551100.0,1357.0,1543.0,15242.0,1128.0,6068.0,1656.0,3862.0,22293.0,46207.0,36,11237,2016,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5,57,0,107,4841,7585,3,5375,17675.926321190847,9.675333333333333,337604.14333333337,294.59877201984744,12.27494883416031,0,0,0,6676,0,11246,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,16127,1603,1,5081,5974,1246,2723,803,315,171,211,1099,3,342
11212 2016,86469.0,1208.0,68375.0,1321.0,14664.0,28495.0,17064.0,0.5173,29835.0,12816.0,406000.0,956.0,4727.0,26860.0,2982.0,5157.0,1787.0,4850.0,29656.0,77577.0,36,11212,2016,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0,128,0,212,4901,5281,23,11605,17853.481982814377,18.519166666666667,209914.4174999995,297.5580330469063,12.398251376954429,0,0,0,0,0,914,0,0,0,13870,7325,0,4,178,10012,4,2,0,11704,0,250,0,0,0,0,10602,3346,1363,3484,780,272,324,241,1045,23,670
11237 2017,52319.0,9789.0,3840.0,4107.0,33492.0,51269.0,23115.0,0.4676,15303.0,5025.0,595400.0,1428.0,1693.0,15096.0,1195.0,7040.0,1967.0,2919.0,20858.0,44772.0,36,11237,2017,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5,80,0,125,5309,8466,3,5638,15420.077886635847,10.545,246669.8183333348,257.0012981105975,10.708387421274894,0,0,0,7473,0,12116,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,17722,1657,4,5166,6701,1700,2956,1128,305,191,206,959,3,306
11215 2017,71015.0,47287.0,2480.0,5409.0,12166.0,116893.0,67148.0,0.4778,5220.0,1588.0,1084600.0,2123.0,11487.0,17393.0,2182.0,18967.0,13504.0,1930.0,11920.0,59109.0,36,11215,2017,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5,145,0,341,11792,5541,13,3531,18217.56293464498,7.0,332731.2518333303,303.62604891074966,12.651085371281235,0,0,262,0,0,0,3349,17734,0,0,0,0,0,653,0,0,0,5523,0,0,0,15187,0,0,0,3586,3133,4768,5160,1297,1057,515,513,990,13,331
11212 2017,82831.0,1116.0,64796.0,975.0,14713.0,25677.0,18150.0,0.5533,29825.0,13905.0,409700.0,942.0,4548.0,26936.0,3242.0,5220.0,1796.0,5786.0,27880.0,74195.0,36,11212,2017,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0,137,0,260,5618,5652,24,11471,15631.105113400841,15.321666666666667,161671.88416666543,260.5184185566807,10.854934106528361,0,0,0,0,0,982,0,0,0,14080,8064,0,1,162,10156,4,1,0,12661,0,178,0,0,0,0,10713,3078,1771,4038,976,256,344,278,1079,24,605
11212 2018,76527.0,907.0,59207.0,974.0,14266.0,26239.0,18772.0,0.5507,26929.0,13834.0,425400.0,953.0,4649.0,26805.0,3431.0,5545.0,1799.0,5175.0,26426.0,68964.0,36,11212,2018,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0,164,1,224,7263,5773,53,11127,15985.119173597468,16.087666666666667,244404.30400000047,266.41865289329115,11.100777203887132,0,0,0,0,0,1210,0,0,0,14584,8743,0,3,214,10433,2,6,0,13748,0,202,0,0,0,0,10354,3141,2988,4208,1306,408,349,285,1022,54,490
11237 2018,49310.0,9791.0,3718.0,3557.0,31052.0,51413.0,24493.0,0.4731,14680.0,4600.0,651800.0,1484.0,1668.0,15072.0,1247.0,7196.0,2223.0,1890.0,18151.0,42136.0,36,11237,2018,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5,84,2,142,7423,7565,6,6783,15811.583290956461,11.172833333333333,243442.63133333478,263.5263881826077,10.980266174275322,0,0,0,8488,0,13455,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,19914,1786,1,6537,5578,2977,3265,1156,408,296,202,1176,8,402
11215 2018,70156.0,46961.0,2636.0,5531.0,11428.0,123583.0,70556.0,0.477,4957.0,1427.0,1138500.0,2216.0,11611.0,17024.0,2285.0,18903.0,13771.0,1700.0,12059.0,58689.0,36,11215,2018,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5,154,2,347,17459,5634,9,4484,17469.938070793178,7.779833333333333,319530.2229999999,291.16563451321963,12.131901438050818,0,0,166,0,0,0,3964,23936,6,0,0,0,0,809,0,0,0,6862,0,1,0,20417,0,0,0,4735,2952,8953,6192,1290,1429,548,526,1277,11,176
11215 2019,69873.0,47251.0,2722.0,5620.0,10480.0,132091.0,74942.0,0.4744,4927.0,1381.0,1222400.0,2270.0,11758.0,16687.0,2034.0,18919.0,13793.0,1514.0,11747.0,58626.0,36,11215,2019,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5,192,4,144,15958,5714,4,2552,17642.412861662713,7.283333333333333,266998.0899999995,294.04021436104523,12.251675598376885,1,0,61,0,0,0,3719,20699,3,0,0,2,0,357,0,0,0,6836,0,0,0,17375,0,0,0,2937,2810,9443,5841,1324,897,228,357,642,8,81
11212 2019,75605.0,1286.0,57697.0,831.0,14518.0,26521.0,19569.0,0.5533,25556.0,14027.0,442800.0,942.0,4557.0,27245.0,3524.0,5589.0,1628.0,5058.0,25969.0,67169.0,36,11212,2019,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0,121,12,123,6983,6861,3,8326,17343.49348386408,13.044166666666667,273106.35166666715,289.058224731068,12.044092697127832,0,0,0,0,0,1022,0,0,0,13577,7760,0,1,247,8631,3,11,0,13445,0,92,0,0,0,0,7953,3677,3042,4181,1615,350,173,204,836,15,383
11237 2019,48876.0,9474.0,3872.0,3298.0,31054.0,53303.0,25990.0,0.4775,14135.0,4504.0,755000.0,1578.0,1567.0,15489.0,1287.0,7879.0,2285.0,1526.0,18339.0,41920.0,36,11237,2019,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5,68,2,58,9462,9391,0,4523,22519.774344941958,6.685666666666667,259384.98533333334,375.3295724156993,15.638732183987472,0,0,0,9327,0,14126,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,20465,2763,2,4477,7045,3177,5771,1332,348,127,184,829,2,212
